,Year,Rank,Club,Points,PPG,GP,Won,Lost,Tie,GF,GA,GD,Home,Away
422,2006,6,Salt Lake,39,1.22,32,10,13,9,45,49,-4,6-4-6,4-9-3
423,2005,1,New England,59,1.84,32,17,7,8,55,37,18,11-2-3,6-5-5
424,2005,2,D.C.,54,1.69,32,16,10,6,58,37,21,9-5-2,7-5-4
425,2005,3,Chicago,49,1.53,32,15,13,4,49,50,-1,8-5-3,7-8-1
426,2005,4,New York,47,1.47,32,12,9,11,53,49,4,6-3-7,6-6-4
427,2005,5,Kansas City,45,1.41,32,11,9,12,52,44,8,6-4-6,5-5-6
428,2005,6,Columbus,38,1.19,32,11,16,5,34,45,-11,7-8-1,4-8-4
429,2005,1,San Jose,64,2,32,18,4,10,53,31,22,9-0-7,9-4-3
430,2005,2,Dallas,48,1.5,32,13,10,9,52,44,8,8-3-5,5-7-4
431,2005,3,Colorado,45,1.41,32,13,13,6,40,37,3,10-4-2,3-9-4
432,2005,4,LA,45,1.41,32,13,13,6,44,45,-1,10-3-3,3-10-3
433,2005,5,Salt Lake,20,0.63,32,5,22,5,30,65,-35,5-8-3,0-14-2
434,2005,6,Chivas USA,18,0.56,32,4,22,6,31,67,-36,3-11-2,1-11-4
435,2004,1,Columbus,49,1.63,30,12,5,13,40,32,8,8-2-5,4-3-8
436,2004,2,D.C.,42,1.4,30,11,10,9,43,42,1,9-2-4,2-8-5
437,2004,3,New York,40,1.33,30,11,12,7,47,49,-2,7-4-4,4-8-3
438,2004,4,New England,33,1.1,30,8,13,9,42,43,-1,6-6-3,2-7-6
439,2004,5,Chicago,33,1.1,30,8,13,9,36,44,-8,7-5-3,1-8-6
440,2004,1,Kansas City,49,1.63,30,14,9,7,38,30,8,9-3-3,5-6-4
441,2004,2,LA,43,1.43,30,11,9,10,42,40,2,8-2-5,3-7-5
442,2004,3,Colorado,41,1.37,30,10,9,11,29,32,-3,7-1-7,3-8-4
443,2004,4,San Jose,38,1.27,30,9,10,11,41,35,6,5-2-8,4-8-3
444,2004,5,Dallas,36,1.2,30,10,14,6,34,45,-11,6-5-4,4-9-2
445,2003,1,Chicago,53,1.77,30,15,7,8,53,43,10,10-1-4,5-6-4
446,2003,2,New England,45,1.5,30,12,9,9,55,47,8,7-4-4,5-5-5
447,2003,3,New York,42,1.4,30,11,10,9,40,40,0,5-6-4,6-4-5
448,2003,4,D.C.,39,1.3,30,10,11,9,38,36,2,6-3-6,4-8-3
449,2003,5,Columbus,38,1.27,30,10,12,8,44,44,0,6-3-6,4-9-2
450,2003,1,San Jose,51,1.7,30,14,7,9,45,35,10,7-4-4,7-3-5
451,2003,2,Kansas City,42,1.4,30,11,10,9,48,44,4,8-4-3,3-6-6
452,2003,3,Colorado,40,1.33,30,11,12,7,40,45,-5,8-2-5,3-10-2
453,2003,4,LA,36,1.2,30,9,12,9,35,35,0,9-3-3,0-9-6
454,2003,5,Dallas,23,0.77,30,6,19,5,35,64,-29,5-8-2,1-11-3
455,2002,1,New England,38,1.36,28,12,14,2,49,49,0,7-7-0,5-7-2
456,2002,2,Columbus,38,1.36,28,11,12,5,44,43,1,6-4-4,5-8-1
457,2002,3,Chicago,37,1.32,28,11,13,4,43,38,5,5-5-4,6-8-0
458,2002,4,New York,35,1.25,28,11,15,2,41,47,-6,4-8-2,7-7-0
459,2002,5,D.C.,32,1.14,28,9,14,5,31,40,-9,8-4-2,1-10-3
460,2002,1,LA,51,1.82,28,16,9,3,44,33,11,11-1-2,5-8-1
461,2002,2,San Jose,45,1.61,28,14,11,3,45,35,10,12-1-1,2-10-2
462,2002,3,Dallas,43,1.54,28,12,9,7,44,43,1,8-4-2,4-5-5
463,2002,4,Colorado,43,1.54,28,13,11,4,43,48,-5,9-3-2,4-8-2
464,2002,5,Kansas City,36,1.29,28,9,10,9,37,45,-8,7-4-3,2-6-6
465,2001,1,Chicago,53,1.96,27,16,6,5,50,30,20,9-2-3,7-4-2
466,2001,2,Columbus,45,1.73,26,13,7,6,49,36,13,7-1-5,6-6-1
467,2001,3,Dallas,35,1.35,26,10,11,5,48,47,1,6-5-2,4-6-3
468,2001,4,Tampa Bay,14,0.52,27,4,21,2,32,68,-36,2-10-2,2-11-0
469,2001,1,Miami Fusion,53,2.04,26,16,5,5,57,36,21,10-2-2,6-3-3
470,2001,2,New York,42,1.62,26,13,10,3,38,35,3,9-3-1,4-7-2
471,2001,3,New England,27,1,27,7,14,6,35,52,-17,6-5-2,1-9-4
472,2001,4,D.C.,26,1,26,8,16,2,42,50,-8,6-4-2,2-12-0
473,2001,1,LA,47,1.81,26,14,7,5,52,36,16,9-3-1,5-4-4
474,2001,2,San Jose,45,1.73,26,13,7,6,47,29,18,8-2-3,5-5-3
475,2001,3,Kansas City,36,1.33,27,11,13,3,33,53,-20,8-4-1,3-9-2
476,2001,4,Colorado,23,0.88,26,5,13,8,36,47,-11,3-6-4,2-7-4
477,2000,1,Chicago,57,1.78,32,17,9,6,67,51,16,13-2-1,4-7-5
478,2000,2,Tampa Bay,52,1.63,32,16,12,4,62,50,12,10-4-2,6-8-2
479,2000,3,Dallas,46,1.44,32,14,14,4,54,54,0,11-3-2,3-11-2
480,2000,4,Columbus,38,1.19,32,11,16,5,48,58,-10,7-6-3,4-10-2
481,2000,1,New York,54,1.69,32,17,12,3,64,56,8,9-4-3,8-8-0
482,2000,2,New England,45,1.41,32,13,13,6,47,49,-2,9-4-3,4-9-3
483,2000,3,Miami Fusion,41,1.28,32,12,15,5,54,56,-2,8-5-3,4-10-2
484,2000,4,D.C.,29,0.94,31,8,18,5,44,63,-19,6-7-2,2-11-3
485,2000,1,Kansas City,56,1.81,31,16,7,8,47,29,18,11-4-1,5-3-7
486,2000,2,LA,50,1.56,32,14,10,8,47,37,10,8-3-5,6-7-3
487,2000,3,Colorado,43,1.34,32,13,15,4,43,59,-16,8-5-3,5-10-1
488,2000,4,San Jose,29,0.91,32,7,17,8,35,50,-15,5-6-5,2-11-3
489,1999,1,D.C.,57,1.78,32,23,9,0,71,46,25,10-6-0,13-3-0
490,1999,2,Columbus,45,1.41,32,19,13,0,54,43,11,10-6-0,9-7-0
491,1999,3,Tampa Bay,32,1,32,14,18,0,56,57,-1,6-10-0,8-8-0
492,1999,4,Miami Fusion,29,0.91,32,13,19,0,47,63,-16,10-6-0,3-13-0
493,1999,5,New England,26,0.81,32,12,20,0,43,60,-17,6-10-0,6-10-0
494,1999,6,New York,15,0.47,32,7,25,0,35,69,-34,3-13-0,4-12-0
495,1999,1,LA,54,1.69,32,20,12,0,52,33,19,12-4-0,8-8-0
496,1999,2,Dallas,51,1.59,32,19,13,0,57,41,16,13-3-0,6-10-0
497,1999,3,Chicago,48,1.5,32,18,14,0,54,41,13,10-6-0,8-8-0
498,1999,4,Colorado,48,1.5,32,20,12,0,44,42,2,11-5-0,9-7-0
499,1999,5,San Jose,37,1.16,32,19,13,0,58,52,6,13-3-0,6-10-0
500,1999,6,Kansas City,20,0.63,32,8,24,0,35,59,-24,6-10-0,2-14-0
501,1998,1,D.C.,58,1.81,32,24,8,0,81,51,30,14-2-0,10-6-0
502,1998,2,Columbus,45,1.41,32,15,17,0,67,61,6,11-5-0,4-12-0
503,1998,3,New York,39,1.22,32,15,17,0,57,63,-6,10-6-0,5-11-0
504,1998,4,Miami Fusion,35,1.09,32,15,17,0,51,68,-17,11-5-0,4-12-0
505,1998,5,Tampa Bay,34,1.06,32,12,20,0,47,62,-15,6-10-0,6-10-0
506,1998,6,New England,29,0.91,32,11,21,0,55,70,-15,6-10-0,5-11-0
507,1998,1,LA,68,2.13,32,24,8,0,87,46,41,11-5-0,13-3-0
508,1998,2,Chicago,56,1.75,32,20,12,0,64,46,18,13-3-0,7-9-0
509,1998,3,Colorado,44,1.38,32,16,16,0,64,71,-7,11-5-0,5-11-0
510,1998,4,Dallas,37,1.16,32,15,17,0,47,61,-14,8-8-0,7-9-0
511,1998,5,San Jose,33,1.03,32,13,19,0,51,65,-14,8-8-0,5-11-0
512,1998,6,Kansas City,32,1,32,12,20,0,47,54,-7,10-6-0,2-14-0
513,1997,1,D.C.,55,1.72,32,21,11,0,74,57,17,11-5-0,10-6-0
514,1997,2,Tampa Bay,45,1.41,32,17,15,0,58,62,-4,12-4-0,5-11-0
515,1997,3,Columbus,39,1.22,32,15,17,0,45,45,0,11-5-0,4-12-0
516,1997,4,New England,37,1.16,32,15,17,0,44,57,-13,11-5-0,4-12-0
517,1997,5,New York,35,1.09,32,13,19,0,45,55,-10,9-7-0,4-12-0
518,1997,1,Kansas City,49,1.53,32,21,11,0,64,53,11,12-4-0,9-7-0
519,1997,2,LA,44,1.38,32,16,16,0,57,48,9,10-6-0,6-10-0
520,1997,3,Dallas,42,1.31,32,16,16,0,58,51,7,8-8-0,8-8-0
521,1997,4,Colorado,38,1.19,32,14,18,0,52,62,-10,9-7-0,5-11-0
522,1997,5,San Jose,30,0.94,32,12,20,0,58,65,-7,6-10-0,6-10-0
523,1996,1,Tampa Bay,58,1.81,32,20,12,0,67,54,13,12-4-0,8-8-0
524,1996,2,D.C.,46,1.44,32,16,16,0,63,59,4,11-5-0,5-11-0
525,1996,3,New York,39,1.22,32,15,17,0,48,49,-1,9-7-0,6-10-0
526,1996,4,Columbus,37,1.16,32,15,17,0,63,65,-2,8-8-0,7-9-0
527,1996,5,New England,33,1.03,32,15,17,0,49,58,-9,10-6-0,5-11-0
528,1996,1,LA,49,1.53,32,19,13,0,63,53,10,11-5-0,8-8-0
529,1996,2,Dallas,41,1.28,32,17,15,0,55,51,4,10-6-0,7-9-0
530,1996,3,Kansas City,41,1.28,32,17,15,0,66,65,1,11-5-0,6-10-0
531,1996,4,San Jose,39,1.22,32,15,17,0,53,56,-3,9-7-0,6-10-0
532,1996,5,Colorado,29,0.91,32,11,21,0,46,63,-17,8-8-0,3-13-0
